,airline_sentiment,tweet_coord
1469,neutral,"[-38.0269936, 145.2110041]"
1511,negative,"[33.94077727, -118.39921036]"
1512,negative,"[29.9866693, -95.3382794]"
1590,negative,"[36.08655568, -115.1394417]"
1613,positive,"[41.92992293, -87.66944213]"
1626,positive,"[41.97890473, -87.91027352]"
1639,neutral,"[41.9763291, -87.73856403]"
1648,positive,"[51.3228191, 5.3576225]"
1660,negative,"[43.56768225, -116.22061173]"
1662,positive,"[38.95201335, -77.44443882]"
1670,positive,"[43.56764134, -116.22089932]"
1696,negative,"[39.8586527, -104.6718518]"
1707,negative,"[40.69672337, -74.17710665]"
1712,negative,"[47.4390828, -122.300713]"
1715,negative,"[47.4389994, -122.3010208]"
1728,negative,"[39.85861469, -104.67233425]"
1749,neutral,"[-37.8536992, 145.1106176]"
1758,negative,"[39.8586566, -104.6718497]"
1759,negative,"[39.8586593, -104.6718352]"
1768,negative,"[39.85873319, -104.67372668]"
1814,negative,"[37.83520596, -122.25460611]"
1825,negative,"[29.98704632, -95.3378275]"
1826,negative,"[29.98707518, -95.33783524]"
1833,negative,"[41.97862209, -87.91469774]"
1840,positive,"[41.97456785, -87.90563774]"
1855,positive,"[25.79104444, -80.27338351]"
1878,negative,"[39.99829207, -82.88085401]"
1886,negative,"[39.99814659, -82.88058383]"
1890,negative,"[38.94562938, -77.44400264]"
1934,neutral,"[29.98872603, -95.3384666]"
1936,negative,"[29.98870677, -95.33845443]"
1945,negative,"[40.6941088, -74.17545854]"
1971,negative,"[39.99806982, -82.88439575]"
2011,neutral,"[22.31355693, 113.92636768]"
2062,negative,"[37.61980156, -122.38447633]"
2063,negative,"[33.94171725, -118.39844033]"
2121,negative,"[34.99254864, -80.92841859]"
2123,positive,"[37.61829369, -122.39192247]"
2131,neutral,"[21.32911863, -157.91749165]"
2148,negative,"[38.95801195, -77.44365722]"
2154,negative,"[38.93770157, -77.4551004]"
2167,negative,"[37.61839686, -122.38751]"
2171,negative,"[37.61926072, -122.38812564]"
2215,negative,"[38.95638224, -77.43898845]"
2237,negative,"[35.07067492, -80.7899648]"
2250,negative,"[43.60417384, -110.7362561]"
2252,negative,"[39.85760174, -104.66669625]"
2259,positive,"[26.07294988, -80.14147128]"
2275,negative,"[35.00096266, -80.87374938]"
2277,negative,"[35.00595547, -80.89437239]"
2285,positive,"[19.43010575, -99.18988829]"
2310,negative,"[19.41622708, -99.16143525]"
2366,negative,"[37.61782989, -122.39172299]"
2367,negative,"[37.61761896, -122.39164663]"
2379,negative,"[40.72476892, -74.09204213]"
2380,negative,"[18.47066766, -68.40014139]"
2395,negative,"[38.94291482, -77.44870496]"
2409,neutral,"[31.27777976, 121.59340615]"
2416,negative,"[33.84438223, -116.5516582]"
2417,negative,"[33.84445776, -116.55139365]"
2428,negative,"[40.73074756, -73.95248962]"
2451,negative,"[33.89611413, -84.33113356]"
2464,negative,"[33.89638659, -84.33108377]"
2472,negative,"[25.08347991, -77.3225763]"
2480,neutral,"[42.3613256, -71.0167387]"
2503,positive,"[39.74529398, -104.99225976]"
2521,negative,"[18.47240961, -68.39941149]"
2523,negative,"[18.4729405, -68.39820768]"
2528,negative,"[18.47233225, -68.39941165]"
2534,neutral,"[18.4710809, -68.39995916]"
2535,negative,"[43.59688282, -72.96820686]"
2540,negative,"[29.81532281, -95.40830048]"
2549,positive,"[41.9413787, -87.8932425]"
2551,positive,"[41.9808176, -87.9063373]"
2552,positive,"[41.9809313, -87.9063148]"
2566,negative,"[33.99585652, -117.35791469]"
2576,positive,"[33.94238375, -118.39906416]"
2578,positive,"[41.86591706, -87.6231238]"
2584,negative,"[41.86590405, -87.62282728]"
2587,negative,"[41.86589387, -87.62303178]"
2592,negative,"[39.77848558, -104.90007634]"
2594,negative,"[39.77390684, -104.84537303]"
2599,negative,"[39.83426941, -104.69960636]"
2600,negative,"[39.83426941, -104.69960636]"
2601,negative,"[41.86591215, -87.6231126]"
2605,negative,"[39.84913886, -104.67403666]"
2619,negative,"[40.71857786, -73.99426076]"
2641,negative,"[29.98498519, -95.3338971]"
2662,negative,"[40.71518191, -73.99595593]"
2703,negative,"[38.26810946, -82.12153441]"
2716,positive,"[37.61476852, -122.40521688]"
2718,negative,"[29.98384194, -95.33664018]"
2735,neutral,"[40.64993239, -73.78249589]"
2757,positive,"[49.73717309, -96.67646776]"
2765,negative,"[29.98454639, -95.33856899]"
2778,negative,"[41.9653255, -87.87535719]"
2785,negative,"[37.78736562, -122.40865161]"
2819,positive,"[33.63992689, -84.44705534]"
2831,negative,"[33.64314381, -84.44252134]"
2855,negative,"[42.37525611, -71.24042938]"
2896,positive,"[43.68346133, -79.61394084]"
2900,positive,"[45.58977875, -122.59182952]"
2917,negative,"[28.34834331, -81.48581918]"
2919,neutral,"[25.07815796, 55.13798672]"
2925,negative,"[45.58986727, -122.59182577]"
2929,negative,"[37.6202411, -122.3883092]"
2936,neutral,"[25.0779704, 55.13808289]"
2942,negative,"[25.07772121, 55.13822432]"
2956,neutral,"[30.15481071, -95.43911291]"
2963,negative,"[25.0776918, 55.13824067]"
2995,positive,"[29.98445184, -95.33224657]"
3031,negative,"[37.62025528, -122.38832698]"
3046,negative,"[40.62387603, -74.30164717]"
3092,neutral,"[37.78194753, -122.43412918]"
3100,negative,"[37.62068265, -122.38816957]"
3109,positive,"[40.7868699, -111.9790833]"
3119,negative,"[40.69758992, -74.25047478]"
3125,neutral,"[40.7697595, -111.974937]"
3133,positive,"[33.82063563, -116.50768141]"
3141,negative,"[37.78508121, -122.41114577]"
3147,neutral,"[40.71288929, -74.16612474]"
3156,negative,"[40.68612449, -74.18465897]"
3165,negative,"[40.69522398, -74.1760931]"
3169,neutral,"[37.6205514, -122.3867929]"
3170,negative,"[40.69482181, -74.17458032]"
3172,negative,"[37.6209902, -122.3867265]"
3181,negative,"[37.6208766, -122.3867929]"
3185,negative,"[40.6867848, -74.18351089]"
3196,neutral,"[34.06143413, -118.39787418]"
3211,neutral,"[38.21327338, -85.76378195]"
3213,negative,"[38.94549594, -77.45193731]"
3218,positive,"[40.77395906, -73.8746932]"
3231,negative,"[37.63404103, -122.40313084]"
3249,negative,"[39.99869322, -82.88004055]"
3258,negative,"[37.99311597, -84.52114659]"
3260,negative,"[37.99311597, -84.52114659]"
3266,negative,"[39.99838284, -82.88068344]"
3303,negative,"[35.23908248, -120.64078264]"
3304,negative,"[35.23896405, -120.64046203]"
3340,positive,"[40.71517211, -74.01453422]"
3354,negative,"[37.61907, -122.38607]"
3370,negative,"[37.61821986, -122.38745399]"
3385,positive,"[35.8924655, -84.19243176]"
3415,neutral,"[34.06979432, -117.57757056]"
3508,neutral,"[13.71241507, 100.60468537]"
3519,negative,"[34.06978184, -117.57752166]"
3520,negative,"[34.06071437, -117.59814212]"
3542,neutral,"[1.3523078, 103.8637764]"
3562,negative,"[38.78438914, -104.72749614]"
3601,neutral,"[-33.87144962, 151.20821275]"
3603,negative,"[41.97826134, -87.91247425]"
3619,neutral,"[35.21498347, -80.96071981]"
3635,neutral,"[40.74389886, -74.12493599]"
3637,positive,"[29.98425706, -95.34407392]"
3652,negative,"[40.03395098, -105.24950187]"
3673,neutral,"[41.98084325, -87.90939435]"
3727,negative,"[33.5089001, -112.02901444]"
3733,negative,"[38.94494175, -77.45367931]"
3736,negative,"[41.98160558, -87.90496847]"
3802,negative,"[39.85823091, -104.67802376]"
3806,negative,"[29.97877958, -95.33246329]"
3816,neutral,"[37.62006843, -122.38822083]"
3832,negative,"[29.98605741, -90.25189405]"
3875,negative,"[33.75357228, -116.36206155]"
3904,negative,"[37.94357634, -121.69565906]"
3929,negative,"[33.75538818, -116.36197002]"
3938,negative,"[33.75536802, -116.36197857]"
3939,negative,"[40.79971517, -74.25960937]"
3944,negative,"[33.75539049, -116.36196163]"
3945,negative,"[37.62063433, -122.38946673]"
3949,negative,"[33.75539049, -116.36196163]"
3953,negative,"[27.98622757, -82.5414547]"
3956,negative,"[33.75348859, -116.36209633]"
3957,negative,"[33.75348859, -116.36209633]"
3959,positive,"[40.54989958, -111.90404484]"
3965,negative,"[36.08651969, -115.13942786]"
3966,negative,"[36.08652135, -115.13941959]"
3975,positive,"[34.01019938, -117.42860927]"
3976,negative,"[34.01352255, -117.44528297]"
3985,negative,"[41.9797415, -87.9099894]"
3997,negative,"[40.84018945, -73.93737649]"
4025,positive,"[38.88839871, -94.62041633]"
4029,neutral,"[42.04836196, -87.74130154]"
4031,negative,"[40.69428253, -74.17219198]"
4032,negative,"[40.69429232, -74.17208436]"
4082,negative,"[37.61833841, -122.38389799]"
4084,negative,"[37.61859126, -122.38385699]"
4119,negative,"[45.58931882, -122.5959928]"
4139,neutral,"[39.85861725, -104.67232956]"
4171,neutral,"[39.85861339, -104.67232131]"
4206,negative,"[26.37852293, -81.78472152]"
4208,positive,"[39.85871934, -104.67371484]"
4220,negative,"[40.70773298, -74.17069948]"
4225,negative,"[40.70749747, -74.17084113]"
4287,positive,"[40.35805521, -111.78241283]"
4300,negative,"[37.62006843, -122.38822083]"
4313,neutral,"[30.09009009, -95.64621813]"
4319,negative,"[38.9058375, -77.00423674]"
4332,negative,"[41.19758614, -73.76914167]"
4333,negative,"[41.1974934, -73.76920486]"
4341,positive,"[41.19747574, -73.76926201]"
4363,negative,"[41.78546237, -87.7430551]"
4365,negative,"[42.88502249, -85.52894527]"
4420,negative,"[38.30097379, -122.30180037]"
4445,negative,"[35.84808282, -78.66572751]"
4477,positive,"[42.3667769, -71.0170733]"
4482,negative,"[39.87778809, -75.23663363]"
4555,neutral,"[39.64617884, -94.31618144]"
4560,positive,"[37.6177248, -122.3913514]"
4564,negative,"[37.6170841, -122.3877223]"
4593,neutral,"[41.52066893, -81.21118788]"
4629,positive,"[39.50503682, -119.77382751]"
4630,negative,"[32.73154946, -117.19636508]"
4683,negative,"[42.3427148, -71.5504243]"
4684,negative,"[32.7156489, -117.1556388]"
4695,positive,"[33.43403712, -111.99678364]"
4716,negative,"[33.64079948, -84.4358346]"
4729,positive,"[32.85744983, -97.03548311]"
4787,positive,"[34.00646846, -118.48131246]"
4806,positive,"[40.76352814, -111.89191896]"
4826,negative,"[41.79410567, -87.74243312]"
4891,positive,"[33.51750182, -101.90914558]"
4901,positive,"[29.65283375, -95.275749]"
4910,neutral,"[40.91509493, -81.4367726]"
4916,negative,"[32.73284288, -117.19634507]"
4920,negative,"[40.91497406, -81.43686526]"
4924,positive,"[42.58417604, -83.1064707]"
4934,neutral,"[42.58399752, -83.10630667]"
4935,neutral,"[39.87875827, -75.23722854]"
4970,negative,"[30.27027027, -97.74064527]"
4974,positive,"[33.4338494, -111.9963312]"
4976,negative,"[33.00605781, -96.76519155]"
4977,negative,"[41.72810364, -71.43406677]"
4980,positive,"[34.7300769, -92.219814]"
4992,neutral,"[41.77838296, -87.7409109]"
4993,negative,"[38.84884095, -77.04207298]"
5022,positive,"[40.72845228, -80.08224442]"
5035,negative,"[36.12665696, -86.66953068]"
5058,negative,"[41.65451582, -70.61064187]"
5061,negative,"[39.87638268, -75.23929034]"
5093,negative,"[39.73217408, -105.0050626]"
5112,negative,"[39.1848041, -76.6787131]"
5113,neutral,"[28.44752379, -81.46716587]"
5117,negative,"[39.1780768, -76.670155]"
5127,negative,"[39.1766101, -76.6700606]"
5128,negative,"[39.1766101, -76.6700606]"
5129,negative,"[39.1765188, -76.6696894]"
5131,neutral,"[39.1766716, -76.6694354]"
5132,negative,"[42.19881665, -83.3859395]"
5133,negative,"[39.1766628, -76.6694238]"
5148,negative,"[39.1766573, -76.669424]"
5160,negative,"[28.43278708, -81.46990923]"
5193,negative,"[36.15093569, -115.27959887]"
5196,negative,"[39.17692138, -76.66929304]"
5210,negative,"[39.1799072, -76.6704455]"
5214,neutral,"[39.1798687, -76.6707032]"
5219,negative,"[39.1799094, -76.6709767]"
5280,neutral,"[29.6526846, -95.2787367]"
5289,negative,"[26.52778866, -81.75533052]"
5305,positive,"[38.90385896, -76.51625101]"
5333,neutral,"[30.26196639, -97.75945775]"
5373,negative,"[41.81477378, -80.93644744]"
5374,positive,"[33.6839241, -117.8607358]"
5468,positive,"[30.30630631, -97.71394697]"
5485,positive,"[40.77512287, -73.86982237]"
5496,negative,"[41.30091858, -95.89873244]"
5497,negative,"[41.30204773, -95.9002533]"
5532,neutral,"[35.12084166, -89.84738331]"
5548,negative,"[35.9807446, -115.0846183]"
5565,neutral,"[40.2376266, -74.9171435]"
5571,positive,"[41.78959656, -87.74028015]"
5587,positive,"[38.73434659, -90.35501265]"
5612,negative,"[40.731704, -73.1724805]"
5616,negative,"[41.93001697, -72.68496357]"
5629,negative,"[41.93015938, -72.68522399]"
5636,negative,"[33.93454129, -118.40270098]"
5675,negative,"[42.313473, -87.83530047]"
5688,negative,"[33.1973379, -96.7573509]"
5695,neutral,"[26.08232307, -80.16234879]"
5712,positive,"[33.67698231, -117.8647932]"
5713,negative,"[33.18882771, -96.64036423]"
5741,negative,"[40.774588, -73.8708903]"
5753,negative,"[37.78915629, -122.4148408]"
5761,negative,"[36.08029523, -115.1466466]"
5762,neutral,"[35.0557688, -78.9702049]"
5763,negative,"[32.8405223, -96.8149248]"
5775,neutral,"[32.80223908, -117.2312804]"
5796,negative,"[39.29345234, -94.71996208]"
5819,positive,"[36.0931536, -86.6973554]"
5822,negative,"[36.1293776, -86.6699252]"
5848,negative,"[30.20650347, -97.74889927]"
5881,positive,"[34.0658388, -117.5711653]"
5883,neutral,"[39.28859449, -76.61832385]"
5893,neutral,"[41.24222981, -77.02647239]"
5904,neutral,"[30.20654541, -97.74890436]"
5911,negative,"[29.98473682, -90.25978334]"
5924,negative,"[39.29372784, -94.71998281]"
5948,negative,"[39.86311565, -104.67610845]"
5972,positive,"[33.05776114, -96.78169517]"
6046,positive,"[28.43585235, -81.30356273]"
6050,positive,"[32.96225554, -96.80070994]"
6082,negative,"[33.94729153, -118.40186744]"
6083,negative,"[33.94729537, -118.40196951]"
6089,negative,"[39.17709903, -76.67124539]"
6114,positive,"[36.898315, -76.204491]"
6123,positive,"[29.65275101, -95.27596615]"
6176,negative,"[35.8271843, -87.43714049]"
6183,neutral,"[27.9344812, -82.47401175]"
6192,neutral,"[44.8741191, -93.22830677]"
6218,positive,"[38.97681463, -76.50266928]"
6226,neutral,"[40.4871427, -112.011264]"
6237,positive,"[30.43823709, -97.76632883]"
6242,negative,"[36.22640559, -86.82373437]"
6252,negative,"[25.7661538, -80.2517994]"
6269,negative,"[38.34274662, -122.32611925]"
6345,neutral,"[41.28597403, -72.44456912]"
6363,negative,"[36.11159761, -86.7844525]"
6365,negative,"[40.71035967, -74.15721568]"
6399,positive,"[39.73167173, -86.3559619]"
6405,positive,"[36.14488928, -86.68739667]"
6419,negative,"[29.65350715, -95.26679505]"
6454,negative,"[33.42067535, -111.93155126]"
6477,neutral,"[36.14487986, -86.68740641]"
6482,negative,"[40.65954723, -74.16986421]"
6483,negative,"[40.65958823, -74.16987822]"
6484,negative,"[40.65951726, -74.16980326]"
6485,negative,"[40.65947097, -74.16982402]"
6487,negative,"[40.65957477, -74.17018971]"
6488,positive,"[30.0554953, -95.1659332]"
6499,positive,"[36.0212589, -86.5447783]"
6536,negative,"[38.73693556, -90.35367062]"
6543,positive,"[38.98057249, -76.73463232]"
6545,positive,"[35.99558298, -78.89974547]"
6689,negative,"[41.79493709, -71.48004413]"
6718,negative,"[30.35571967, -87.27675562]"
6721,neutral,"[38.56979708, -75.1096009]"
6739,neutral,"[21.05483165, -86.78164351]"
6809,neutral,"[40.70326657, -74.01106458]"
6817,positive,"[34.02763089, -118.49627894]"
6819,neutral,"[34.02761838, -118.49646336]"
6821,positive,"[34.02764112, -118.49636416]"
6852,negative,"[42.3658858, -71.01423374]"
6866,neutral,"[33.8191302, -118.1455457]"
6873,neutral,"[42.36005288, -71.06315559]"
6918,neutral,"[40.76262466, -73.73946148]"
6920,negative,"[40.76262285, -73.7394313]"
6930,positive,"[41.21681145, -73.12508256]"
7010,negative,"[51.54381448, -0.00116722]"
7048,negative,"[34.09548421, -81.20955847]"
7101,neutral,"[42.3427056, -71.5504108]"
7112,positive,"[33.78310211, -84.21250227]"
7133,positive,"[42.35829164, -71.06163025]"
7141,positive,"[26.37067479, -80.10215823]"
7176,positive,"[41.06865736, -73.70398273]"
7184,neutral,"[40.64579177, -73.77555571]"
7187,negative,"[41.06869526, -73.70402469]"
7203,neutral,"[40.6467516, -73.77465033]"
7204,negative,"[40.64646872, -73.77594979]"
7239,negative,"[26.0713458, -80.146874]"
7241,neutral,"[13.07761455, -59.60542973]"
7244,negative,"[13.07787514, -59.6049865]"
7252,positive,"[33.7008468, -118.0192094]"
7265,neutral,"[40.64682076, -73.7823236]"
7266,negative,"[40.64485766, -73.78737261]"
7273,negative,"[42.36494288, -71.01451482]"
7275,positive,"[40.89343356, -74.29961359]"
7277,negative,"[40.85036847, -74.42575912]"
7280,negative,"[40.775248, -74.48253909]"
7287,neutral,"[40.77844416, -73.87477197]"
7302,negative,"[40.64797296, -73.77939249]"
7308,negative,"[40.64602261, -73.7762935]"
7361,neutral,"[40.61883222, -74.015404]"
7364,negative,"[40.61884429, -74.0153922]"
7365,negative,"[40.61878764, -74.01544319]"
7367,negative,"[40.61886457, -74.01535789]"
7370,neutral,"[40.79874419, -73.82756667]"
7371,negative,"[40.6466862, -73.7769539]"
7416,negative,"[42.40805407, -88.62699707]"
7473,negative,"[40.7740308, -73.8674526]"
7482,positive,"[4.69840554, -74.14134323]"
7490,negative,"[32.73346632, -117.20410937]"
7495,negative,"[40.64646912, -73.79133606]"
7500,positive,"[38.6485933, -121.11740707]"
7502,negative,"[40.64646912, -73.79133606]"
7507,negative,"[40.64646912, -73.79133606]"
7541,positive,"[38.69255098, -121.58854512]"
7627,neutral,"[25.05152514, -77.46620117]"
7677,positive,"[34.546788, -87.012305]"
7679,negative,"[40.65275545, -73.79457024]"
7680,negative,"[40.64779984, -73.78283404]"
7742,neutral,"[42.36726898, -71.01512871]"
7750,negative,"[18.43615031, -66.00573829]"
7760,positive,"[40.67851205, -73.43465391]"
7791,positive,"[41.05811177, -73.53637216]"
7806,negative,"[40.64573089, -73.77655727]"
7863,positive,"[28.42301907, -81.29654204]"
7898,negative,"[40.64342444, -111.49392569]"
7899,negative,"[40.64339686, -111.49337274]"
7909,neutral,"[40.88529232, -73.856635]"
7911,negative,"[40.88539964, -73.85658056]"
7914,positive,"[40.7171667, -73.96415608]"
7918,neutral,"[40.71716644, -73.96426215]"
7939,neutral,"[43.3230125, -73.64314219]"
7946,neutral,"[33.8117407, -118.1628]"
7957,positive,"[26.07159064, -80.14770942]"
7967,negative,"[40.64530946, -73.77617682]"
7972,negative,"[40.64534568, -73.77609616]"
7973,negative,"[40.64531687, -73.77617765]"
7974,negative,"[40.64529157, -73.7761025]"
8029,neutral,"[37.40321679, -121.96988433]"
8093,neutral,"[38.91355311, -77.04169657]"
8158,positive,"[40.79248745, -111.98778056]"
8173,neutral,"[40.64638899, -73.78399051]"
8175,negative,"[40.64656067, -73.78334045]"
8176,negative,"[40.64656067, -73.78334045]"
8177,negative,"[40.64656067, -73.78334045]"
8178,negative,"[40.64656067, -73.78334045]"
8179,negative,"[40.64656067, -73.78334045]"
8198,positive,"[40.64661043, -73.776003]"
8199,negative,"[40.64719984, -73.77530956]"
8200,negative,"[40.64679403, -73.77516598]"
8201,neutral,"[40.64679903, -73.7734517]"
8204,negative,"[40.64374009, -73.77678134]"
8205,negative,"[40.64490372, -73.77508276]"
8308,positive,"[42.36834942, -71.0152744]"
8311,negative,"[42.36833796, -71.01525742]"
8334,negative,"[40.63817554, -73.95630614]"
8342,negative,"[38.87982914, -77.11608667]"
8416,negative,"[33.81346953, -117.91426571]"
8421,neutral,"[33.81391813, -117.92216895]"
8462,positive,"[40.64610291, -73.78666687]"
8476,negative,"[40.64527675, -73.7761654]"
8500,negative,"[40.64527481, -73.77615604]"
8501,negative,"[40.51809311, -74.48552378]"
8513,negative,"[40.51806327, -74.48518231]"
8517,neutral,"[40.51270596, -74.48509319]"
8518,negative,"[40.64518126, -73.77582926]"
8520,negative,"[40.51794328, -74.48516831]"
8524,negative,"[40.64520088, -73.77587636]"
8583,negative,"[40.77471899, -73.86957658]"
8584,neutral,"[46.14149629, -122.90609053]"
8585,negative,"[40.77460155, -73.86969694]"
8625,negative,"[41.71826065, -72.68689133]"
8660,positive,"[28.4261453, -81.2998841]"
8674,positive,"[18.22245647, -63.00369733]"
8676,positive,"[18.22245647, -63.00369733]"
8677,positive,"[18.22245747, -63.00369895]"
8723,negative,"[32.73130971, -117.20222555]"
8779,negative,"[18.44643543, -66.28345755]"
8793,negative,"[18.4465457, -66.28316651]"
8797,negative,"[32.99815682, -117.17405196]"
8825,negative,"[42.36604659, -71.01573889]"
8846,neutral,"[40.64784472, -73.77710687]"
8863,negative,"[40.64656067, -73.78334045]"
8872,neutral,"[46.16798631, -122.96616783]"
8873,neutral,"[46.16788404, -122.96673513]"
8940,positive,"[40.78521842, -74.07232899]"
8962,positive,"[32.07301184, -81.09362691]"
8973,negative,"[35.21979387, -80.94498281]"
8985,positive,"[33.43720156, -111.99928786]"
9040,negative,"[40.6954621, -74.1733106]"
9185,negative,"[29.99135326, -95.52122091]"
9234,negative,"[29.99653598, -95.53874781]"
9244,positive,"[35.22177192, -80.92309308]"
9379,neutral,"[38.95804042, -77.26190063]"
9398,neutral,"[39.87010428, -75.2507858]"
9431,negative,"[42.2822248, -71.0378408]"
9440,negative,"[33.43588637, -111.99965664]"
9441,negative,"[33.43824974, -111.99987573]"
9511,negative,"[33.43790009, -111.99746652]"
9519,negative,"[35.21843964, -80.94253029]"
9536,negative,"[39.8805621, -75.23893393]"
9566,negative,"[39.88116058, -75.24031037]"
9580,negative,"[39.88024969, -75.2363937]"
9596,neutral,"[33.6424884, -84.4325976]"
9600,negative,"[21.15194085, -86.82443877]"
9612,negative,"[40.49569523, -80.24513477]"
9616,negative,"[36.11203645, -115.17712729]"
9698,negative,"[33.80598632, -118.36571615]"
9739,negative,"[38.86411798, -77.0231684]"
9747,negative,"[32.43487013, -80.64150369]"
9767,negative,"[33.54774386, -86.75224256]"
9774,negative,"[39.8749399, -75.2407937]"
9777,negative,"[39.8749366, -75.2407972]"
9846,negative,"[21.15192481, -86.82441431]"
9876,negative,"[39.8749922, -75.24017448]"
9877,negative,"[39.87455718, -75.24082121]"
9887,negative,"[42.36184505, -71.02219492]"
9893,negative,"[43.19825137, -70.87335749]"
9894,negative,"[43.19830037, -70.87348793]"
9895,negative,"[43.19824341, -70.8733423]"
9899,negative,"[43.19872113, -70.87307422]"
9913,negative,"[42.74561865, -73.80942844]"
9914,neutral,"[35.87642273, -78.79274566]"
9916,negative,"[35.87648539, -78.79266577]"
9920,neutral,"[33.50528024, -86.81047219]"
9984,negative,"[40.85214382, -73.28567395]"
9985,negative,"[39.98272482, -86.22502919]"
10042,negative,"[37.78831231, -122.41007318]"
10056,negative,"[35.22358885, -80.95061712]"
10058,negative,"[35.21905941, -80.9426995]"
10063,negative,"[40.04903686, -75.1035816]"
10124,negative,"[39.87309176, -75.24413798]"
